producto,precio
Ananá,"$ 180,00   por 1 unidad/es $ 300,00 40 %"
Arándanos en bandejita 125 gr.,"$ 100,20   por 1 unidad/es $ 167,00 40 %"
Bananas,"$ 58,80   por 500 gramos $ 84,00 30 %"
Bananas para Licuado,"$ 28,00   por 500 gramos $ 40,00 30 %"
Cereza,"$ 140,00   por 250 gramos $ 200,00 30 %"
Ciruelas,"$ 74,20   por 500 gramos $ 106,00 30 %"
Combo box frutas,"$ 735,00   por 1 unidad/es $ 1.050,00 30 %"
Combo box frutas y verduras,"$ 1.092,00   por 1 unidad/es $ 1.560,00 30 %"
Durazno,"$ 148,40   por 500 gramos $ 212,00 30 %"
Kiwi,"$ 245,00   por 500 gramos $ 350,00 30 %"
Limón,"$ 42,00   por 1 unidad/es $ 60,00 30 %"
Mango,"$ 102,00   por 1 unidad/es $ 170,00 40 %"
Manzana Granny Smith o Verde,"$ 58,80   por 500 gramos $ 84,00 30 %"
Manzana Red,"$ 102,90   por 500 gramos $ 147,00 30 %"
Melón Roció de Miel,"$ 140,00   por 1 unidad/es $ 200,00 30 %"
Naranja,"$ 91,00   por 500 gramos $ 130,00 30 %"
Pelones,"$ 148,40   por 500 gramos $ 212,00 30 %"
Sandia Sugar Baby,"$ 140,00   por 1 unidad/es $ 200,00 30 %"
Uvas Rojas,"$ 91,00   por 500 gramos $ 130,00 30 %"
