producto,precio
Vino Blanco Alambrado Chardonnay.,"$ 313,74   por 1 unidad/es $ 448,20 30 %"
Vino Blanco Dulce Natural Santa Julia Chenin lata 355 Ml.,"$ 113,40   por 1 unidad/es $ 162,00 30 %"
Vino Blanco Santa Julia Sauvignon Blanc 750 Ml.,"$ 191,28   por 1 unidad/es $ 273,26 30 %"
Vino Emilia Cabernet Sauvignon 750 cc,"$ 234,30   por 1 unidad/es $ 334,72 30 %"
Vino Nieto Senetiner Chardonay 750 cc,"$ 337,99   por 1 unidad/es $ 482,84 30 %"
Vino Nieto Senetiner Malbec 750 cc,"$ 337,99   por 1 unidad/es $ 482,84 30 %"
Vino Rosado Santa Julia Syrah Rose 750 Ml.,"$ 207,90   por 1 unidad/es $ 297,00 30 %"
Vino Santa Julia Orgánica Malbec-Rosé Lata 269 Ml.,"$ 90,72   por 1 unidad/es $ 129,60 30 %"
Vino Tinto Alambrado Cabernet Sauvignon,"$ 313,74   por 1 unidad/es $ 448,20 30 %"
Vino Tinto Cabernet Sauvignon Santa Julia 750 Ml.,"$ 191,28   por 1 unidad/es $ 273,26 30 %"
Vino Tinto El Espectador Blend - Eduardo Vidal Wines 750 Cc.,"$ 483,30   por 1 unidad/es $ 537,00 10 %"
Vino Tinto Santa Julia Syrah 750 Cc,"$ 191,28   por 1 unidad/es $ 273,26 30 %"
